time_s,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad
7.78,-0.24459783981940075,0.05603793217116754,0.29747988728956587,-0.16894379079235655,-0.19589260578242707,-0.6009999385267886
7.79,-0.24541639788988184,0.05297946261253985,0.2959508545908111,-0.1632711493153911,-0.20407715232528556,-0.5998874223476385
7.8,-0.24624451691714025,0.049856140957404343,0.29441541764872337,-0.1576829484687714,-0.2122257537653618,-0.5984821882694211
7.8100000000000005,-0.24708460332031484,0.04668100746433885,0.29289492596991623,-0.15227119384129706,-0.22033348677857267,-0.5968457031366383
7.82,-0.24793055079440415,0.04346610269123093,0.2914127160218359,-0.14709618627735432,-0.22839200381638936,-0.5950612493750942
7.83,-0.24876857854623013,0.04022118034375504,0.28999079908250874,-0.14217795675723544,-0.2363868823461983,-0.5932274022065576
7.84,-0.2495791697770563,0.036952866747821875,0.2886463611927834,-0.13749397227349958,-0.24429455388037802,-0.5914478817290112
7.8500000000000005,-0.25033968808339147,0.033664230860895275,0.2873887877120946,-0.13298380592208003,-0.2520797463844522,-0.5898185493005834
7.86,-0.25102729819347364,0.03035472122165861,0.28621788184176983,-0.12856005599655296,-0.2596946933250166,-0.5884134711738569
7.87,-0.25162188045716366,0.027020515946854225,0.28512375086447117,-0.12412355564618016,-0.26708080829872927,-0.5872728997274335
7.88,-0.2521086176177694,0.023655402337370797,0.28408846230836604,-0.11958008311828383,-0.27417240721173597,-0.5863960619530779
7.890000000000001,-0.2524798911990579,0.02025225649843251,0.28308911087696376,-0.1148554950736056,-0.28090144852087917,-0.585740549559544
7.9,-0.2527361661979808,0.016805033855634668,0.28210158925044293,-0.10990656357970652,-0.2872026429383441,-0.5852284138891664
7.91,-0.2528857053022631,0.013310987389571332,0.2811042680948282,-0.10472578655219422,-0.2930188597044623,-0.584757557694251
7.92,-0.25294317520127213,0.009772680459413171,0.2800809329955387,-0.09933981971309302,-0.29830663386484346,-0.5842160918556747
7.930000000000001,-0.2529273972250663,0.0061993155201384865,0.27902257833379757,-0.0938025927983932,-0.3030409535832521,-0.5834970469920431
7.94,-0.2528586010671923,0.002606998462946508,0.2779279378127695,-0.08818528125799885,-0.30721814484043275,-0.5825110849931696
7.95,-0.25275558356040534,-0.0009822311935512975,0.27680288423817645,-0.0825657449610473,-0.31085595701824076,-0.5811954325954702
7.96,-0.2526331897452863,-0.004542540396144721,0.27565897357031316,-0.07701958980691925,-0.31399079481166137,-0.5795180101369839
7.97,-0.2525004923016102,-0.008047338508464123,0.2745113886429481,-0.0716139039902548,-0.3166730520592087,-0.5774766322357534
7.98,-0.2523599117068421,-0.01147274152184468,0.27337644782750975,-0.06640361794055849,-0.3189620668263444,-0.5750940745045732
7.99,-0.25220733798374373,-0.014800853936372925,0.2722688630186017,-0.061429804248779085,-0.3209218869186117,-0.5724104214392707
8.0,-0.2520331573367572,-0.01802225267185131,0.27119911257145374,-0.05671904761090696,-0.32261808657312674,-0.5694743656490697
8.01,-0.2518239844225464,-0.021137234257016194,0.27017146972865774,-0.052283117169857896,-0.32411517090608655,-0.5663351997879769
8.02,-0.2515648625306302,-0.024155667496428685,0.2691831826103056,-0.048118546595788736,-0.3254741310205991,-0.5630369614620339
8.03,-0.2512416902827265,-0.027095550152043808,0.268225011558443,-0.04420620249859741,-0.32675002561348654,-0.5596152080127026
8.040000000000001,-0.2508435879082601,-0.029980558569569625,0.2672829730644178,-0.040511159069093416,-0.32798944214267056,-0.556095660227069
8.05,-0.2503648215621808,-0.0328370362842657,0.2663409114902817,-0.03698321797670001,-0.32922749195154033,-0.5524935158570026
8.06,-0.24980588551698676,-0.03569096677250259,0.26538344479579423,-0.0335585504355711,-0.3304842585379326,-0.5488128663295146
8.07,-0.24917350175097797,-0.0385654244153347,0.2643988072958622,-0.03016313227346279,-0.33176140294538303,-0.5450465281151438
8.08,-0.24847957124918002,-0.0414787645231719,0.26338111645748263,-0.02671843370767535,-0.3330402044641909,-0.5411768961330838
